Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
FLÓRIDA PAULISTA,351600,0.715,1.4264370000000002,14936,524.138,0.28496312039958943,0.01639344262295082,0.14754098360655737,NA,NA,NA,44
FLORÍNEA,351610,0.713,5.042289,2631,225.886,0.11647468191919819,0.05555555555555555,0.1111111111111111,NA,NA,NA,32
FRANCA,351620,0.78,2.8518779999999997,358539,605.679,5.919620789229939,0.032764269701672705,0.12588377306432144,NA,NA,NA,41
FRANCISCO MORATO,351630,0.703,0.8719399999999999,179372,49.001,36.60578355543765,0.05422919508867667,0.16166439290586632,NA,NA,NA,39
FRANCO DA ROCHA,351640,0.731,1.965005,158438,132.775,11.932818678215027,0.04449217551396134,0.12549861920834612,NA,NA,NA,39
GABRIEL MONTEIRO,351650,0.763,2.669971,2776,138.681,0.2001716168761402,0.16,0.2,NA,NA,NA,44
GÁLIA,351660,0.709,2.164397,6419,355.914,0.18035255707839537,0.06896551724137931,0.3275862068965517,NA,NA,NA,45.5
GARÇA,351670,0.769,2.687437,44429,555.807,0.799360209569149,0.025899280575539568,0.08489208633093526,NA,NA,NA,38
GASTÃO VIDIGAL,351680,0.723,1.6095700000000002,4911,180.569,0.2719735945815727,0.13953488372093023,0.3372093023255814,NA,NA,NA,54
GAVIÃO PEIXOTO,351685,0.719,18.628772,4841,243.766,0.19859209241649778,0.004694835680751174,0.11267605633802817,NA,NA,NA,32
GENERAL SALGADO,351690,0.747,2.284877,10855,494.376,0.21956972021295534,0.009708737864077669,0.22330097087378642,NA,NA,NA,43
GETULINA,351700,0.717,1.6284530000000002,11485,676.755,0.16970691018167577,0.005263157894736842,0.1736842105263158,NA,NA,NA,35.5
GLICÉRIO,351710,0.735,2.114262,4842,272.8,0.17749266862170088,0.0392156862745098,0.21568627450980393,NA,NA,NA,37
GUAIÇARA,351720,0.739,1.629889,12416,277.154,0.4479819883530456,0.009671179883945842,0.172147001934236,NA,NA,NA,33
GUAIMBÊ,351730,0.728,1.316382,5806,217.811,0.26656137660632384,0.05263157894736842,0.14035087719298245,NA,NA,NA,36
GUAÍRA,351740,0.753,8.016983999999999,41283,1258.465,0.3280424962156278,0.03424657534246575,0.14726027397260275,NA,NA,NA,42
GUAPIAÇU,351750,0.725,2.600859,22087,325.126,0.679336626415605,0.03322615219721329,0.27009646302250806,NA,NA,NA,41
GUAPIARA,351760,0.675,1.887432,16896,408.292,0.41382148070498564,0.07633587786259542,0.22137404580152673,NA,NA,NA,43
GUARÁ,351770,0.718,2.080461,21394,362.183,0.5906958636932158,0.04225352112676056,0.30784708249496984,NA,NA,NA,40
GUARAÇAÍ,351780,0.719,3.27704,8258,569.197,0.14508157983966888,0.014084507042253521,0.16901408450704225,NA,NA,NA,43
