Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
CÁSSIA DOS COQUEIROS,351090,0.734,5.858194,2488,191.683,0.12979763463635272,0,0.1267605633802817,NA,NA,NA,40,NA
CASTILHO,351100,0.731,4.170815,21521,1065.318,0.2020147974595379,0.01876172607879925,0.0900562851782364,NA,NA,NA,35,NA
CATANDUVA,351110,0.785,3.461118,123114,290.596,4.236603394403226,0.03502101260756454,0.16169701821092655,NA,NA,NA,40,NA
CATIGUÁ,351120,0.751,1.507911,7905,148.393,0.5327070683927139,0.025157232704402517,0.2893081761006289,NA,NA,NA,44,NA
CEDRAL,351130,0.766,3.4238370000000002,9452,197.838,0.47776463571204725,0.040740740740740744,0.15185185185185185,NA,NA,NA,40,NA
CERQUEIRA CÉSAR,351140,0.729,3.060521,20391,511.621,0.3985567441524097,0.03333333333333333,0.10555555555555556,NA,NA,NA,40,NA
CERQUILHO,351150,0.782,3.8133410000000003,50631,127.803,3.9616440928616696,0.022974607013301087,0.13059250302297462,NA,NA,NA,39,NA
CESÁRIO LANGE,351160,0.706,2.412803,18595,190.392,0.9766691877809993,0.030927835051546393,0.09278350515463918,NA,NA,NA,35,NA
CHARQUEADA,351170,0.736,2.080695,17539,175.846,0.9974068218782344,0.021917808219178082,0.16164383561643836,NA,NA,NA,38,NA
CHAVANTES,355720,0.729,1.670608,12418,188.727,0.6579874633730202,0.014492753623188406,0.11594202898550725,NA,NA,NA,38,NA
CLEMENTINA,351190,0.725,2.594535,8894,168.59,0.5275520493504953,0.011834319526627219,0.11834319526627218,NA,NA,NA,39,NA
COLINA,351200,0.757,6.021814,18601,422.303,0.4404657319507557,0.04643962848297214,0.1393188854489164,NA,NA,NA,39,NA
COLÔMBIA,351210,0.71,5.320743,6223,728.648,0.08540474961847147,0.017094017094017096,0.1282051282051282,NA,NA,NA,36,NA
CONCHAL,351220,0.708,2.488449,28491,182.793,1.5586483071014754,0.029565217391304348,0.11304347826086956,NA,NA,NA,38,NA
CONCHAS,351230,0.736,1.9830729999999999,18138,466.12,0.3891272633656569,0.03058103975535168,0.10703363914373089,NA,NA,NA,37,NA
CORDEIRÓPOLIS,351240,0.758,11.651963,25116,137.579,1.8255693092695833,0.014760147601476014,0.09471094710947109,NA,NA,NA,36,NA
COROADOS,351250,0.719,2.7648490000000003,6197,246.825,0.25106857084979234,0.014705882352941176,0.07352941176470588,NA,NA,NA,43,NA
CORONEL MACEDO,351260,0.69,1.625872,4591,303.83,0.15110423592140343,0.05263157894736842,0.23684210526315788,NA,NA,NA,35,NA
CORUMBATAÍ,351270,0.754,6.141868,4072,278.622,0.1461478275225933,0.014705882352941176,0.13970588235294118,NA,NA,NA,41,NA
COSMÓPOLIS,351280,0.769,2.2410360000000003,74662,154.665,4.8273365014709215,0.024630541871921183,0.12862616310892172,NA,NA,NA,40,NA
COSMORAMA,351290,0.722,4.591253,7289,441.68,0.16502898025719978,0.06984126984126984,0.26666666666666666,NA,NA,NA,44,NA
COTIA,351300,0.78,5.122548999999999,257882,323.994,7.959468385217009,0.04706627268889827,0.13613338961587168,NA,NA,NA,41,NA
CRAVINHOS,351310,0.756,3.4165629999999996,35858,311.423,1.1514242685993006,0.08495145631067962,0.4029126213592233,NA,NA,NA,46,NA
CRISTAIS PAULISTA,351320,0.734,2.26171,8803,385.23,0.22851283648729329,0.025,0.0875,NA,NA,NA,36.5,NA
CRUZÁLIA,351330,0.774,4.977812999999999,2021,149.33,0.13533784236255272,0,0.125,NA,NA,NA,37,NA
CRUZEIRO,351340,0.788,2.974319,82895,305.699,2.7116542743025,0.040880503144654086,0.09538784067085954,NA,NA,NA,41,NA
CUBATÃO,351350,0.737,10.159709,132521,142.879,9.275050917209668,0.032420749279538905,0.15821325648414986,NA,NA,NA,40,NA
CUNHA,351360,0.684,1.197143,21373,1407.25,0.1518777758038728,0.009216589861751152,0.17050691244239632,NA,NA,NA,39,NA
DESCALVADO,351370,0.76,4.73278,34097,753.706,0.452391250699875,0.012944983818770227,0.18932038834951456,NA,NA,NA,38,NA
DIADEMA,351380,0.757,3.485575,429550,30.732,139.77287517896656,0.051220529939495094,0.2372209472146881,NA,NA,NA,41,NA
DIRCE REIS,351385,0.741,3.213362,1805,88.133,0.20480410288995043,0,0.06896551724137931,NA,NA,NA,49,NA
DIVINOLÂNDIA,351390,0.734,2.494084,11027,223.749,0.49282901823024905,0.04195804195804196,0.09090909090909091,NA,NA,NA,40,NA
DOBRADA,351400,0.718,1.304555,9088,149.729,0.6069632469327919,0.011904761904761904,0.10119047619047619,NA,NA,NA,41,NA
DOIS CÓRREGOS,351410,0.725,2.389669,27704,632.972,0.4376812876398956,0.017543859649122806,0.10526315789473684,NA,NA,NA,36,NA
DOLCINÓPOLIS,351420,0.742,2.184564,2108,77.939,0.27046793004785796,0.06493506493506493,0.24675324675324675,NA,NA,NA,48,NA
DOURADO,351430,0.738,7.072394999999999,8883,205.874,0.431477505658801,0.012048192771084338,0.13855421686746988,NA,NA,NA,38,NA
DRACENA,351440,0.776,2.577984,47287,487.688,0.9696158199504602,0.029922779922779922,0.13127413127413126,NA,NA,NA,40,NA
DUARTINA,351450,0.748,1.9047830000000001,12421,264.557,0.46950184648298854,0.018050541516245487,0.08303249097472924,NA,NA,NA,40,NA
DUMONT,351460,0.744,2.358784,10174,111.376,0.9134822582962218,0.00946969696969697,0.19507575757575757,NA,NA,NA,40,NA
ECHAPORÃ,351470,0.745,2.042697,6026,515.258,0.1169511196332711,0.03125,0.15625,NA,NA,NA,36,NA
ELDORADO,351480,0.691,2.079532,15592,1654.256,0.09425385188265903,0.01837270341207349,0.047244094488188976,NA,NA,NA,39,NA
ELIAS FAUSTO,351490,0.695,4.014454,18095,202.36,0.8941984581933188,0.025,0.1,NA,NA,NA,39,NA
ELISIÁRIO,351492,0.747,1.7685,3742,93.98,0.3981698233666737,0.01775147928994083,0.14201183431952663,NA,NA,NA,41,NA
EMBAÚBA,351495,0.73,2.123883,2446,83.129,0.2942414801092278,0.017543859649122806,0.12280701754385964,NA,NA,NA,38,NA
EMBU DAS ARTES,351500,0.735,4.891466,279264,70.398,39.66930878718146,0.055747409965466205,0.17809570794277257,NA,NA,NA,40,NA
EMBU GUAÇU,351510,0.749,1.629333,70402,155.641,4.523358241080436,0.03988397389412618,0.17693981145757795,NA,NA,NA,39,NA
EMILIANÓPOLIS,351512,0.727,1.9284,3238,225.167,0.14380437630736298,0.028985507246376812,0.13043478260869565,NA,NA,NA,43,NA
ENGENHEIRO COELHO,351515,0.732,3.270136,21712,109.941,1.974877434260194,0.023965141612200435,0.18082788671023964,NA,NA,NA,36,NA
ESPÍRITO SANTO DO PINHAL,351518,0.787,3.243636,44607,389.235,1.1460171875602143,0.02091633466135458,0.17131474103585656,NA,NA,NA,39,NA
ESPÍRITO SANTO DO TURVO,351519,0.696,1.646612,4926,193.666,0.25435543667964433,0.017857142857142856,0.125,NA,NA,NA,38,NA
ESTIVA GERBI,355730,0.74,2.988347,11507,74.144,1.5519799309451876,0.03550295857988166,0.22485207100591717,NA,NA,NA,41,NA
ESTRELA D'OESTE,351520,0.76,7.437784,8420,296.281,0.2841896712917804,0.026415094339622643,0.2018867924528302,NA,NA,NA,43,NA
ESTRELA DO NORTE,351530,0.74,1.8316560000000002,2774,264.987,0.10468438074320627,0.03225806451612903,0.3709677419354839,NA,NA,NA,49,NA
EUCLIDES DA CUNHA PAULISTA,351535,0.704,1.689329,9280,573.894,0.16170233527445835,0.07272727272727272,0.2545454545454545,NA,NA,NA,44,NA
FARTURA,351540,0.732,2.316282,16102,429.171,0.3751884446991992,0.013513513513513514,0.14189189189189189,NA,NA,NA,39.5,NA
FERNANDO PRESTES,351560,0.758,3.3167169999999997,5805,169.99,0.341490675922113,0.02040816326530612,0.19047619047619047,NA,NA,NA,36,NA
